high_formula,high_mpid,low_formula,low_mpid,avg_voltage,battery_id
Li3Ti3CrO8,mp-773297,Li4Ti3CrO8,mp-773275,1.2256136400000108,mp-773275_Li
Mn2P2O7F2,mp-770557,Li2Mn2P2O7F2,mp-770546,3.4928463437499935,mp-770546_Li
MnPO4F,mp-868639,LiMnPO4F,mp-763235,4.536242972499997,mp-763234_Li
LiMnPO4F,mp-1176649,Li2MnPO4F,mp-776063,3.995604661250004,mp-1176649_Li
Mn3Nb2Cr3O16,mp-771853,Li4Mn3Nb2Cr3O16,mp-771688,3.7902388324999996,mp-771688_Li
LiNbCo3(PO4)6,mp-764445,Li6NbCo3(PO4)6,mp-762735,4.112921716000004,mp-1176608_Li
MnV4NiO12,mp-853162,Li2MnV4NiO12,mp-862462,2.5638737549999937,mp-853162_Li
V3Fe3(TeO8)2,mp-775464,Li4V3Fe3(TeO8)2,mp-767773,3.294448122499998,mp-767773_Li
Li3Mn3WO8,mp-771915,Li4Mn3WO8,mp-773363,2.077742140000003,mp-771915_Li
LiFeSnO4,mp-771096,Li2FeSnO4,mp-1177968,1.97552437,mp-1177968_Li
Li3Fe3(SnO5)2,mp-762819,Li5Fe3(SnO5)2,mp-769826,2.587371670000001,mp-762819_Li
NiSn(PO4)2,mp-763591,Li2NiSn(PO4)2,mp-773195,2.5341323025000024,mp-763591_Li
Ni3Sn(PO4)4,mp-774257,Li4Ni3Sn(PO4)4,mp-765811,3.701576799999989,mp-765811_Li
LiBi2P5O18,mp-672993,Li3Bi2P5O18,mp-26245,5.361263185000004,mp-26245_Li
Li3Bi3P8O29,mp-778111,Li6Bi3P8O29,mp-26327,4.879698151666668,mp-26327_Li
LiBi(PO4)2,mp-1101585,Li2Bi(PO4)2,mp-25802,5.0142010066666725,mp-1101536_Li
Bi5(PO4)6,mp-673116,Li3Bi5(PO4)6,mp-26835,5.332222756666658,mp-26835_Li
Bi(PO3)4,mp-504324,LiBi(PO3)4,mp-673098,5.018669074999982,mp-504324_Li
Bi(PO3)4,mp-25960,LiBi(PO3)4,mp-25959,5.533151539999997,mp-25959_Li
Bi(PO3)4,mp-673020,LiBi(PO3)4,mp-673023,5.242727117500001,mp-673020_Li
Bi(PO3)4,mp-26574,LiBi(PO3)4,mp-684497,5.2503532625000044,mp-26574_Li
Bi(PO3)4,mp-684096,LiBi(PO3)4,mp-25881,5.229434735000003,mp-25881_Li
Bi(PO3)4,mp-504355,LiBi(PO3)4,mp-504354,5.64306876999999,mp-504354_Li
Bi(PO3)4,mp-25906,LiBi(PO3)4,mp-684093,4.93816087000001,mp-25906_Li
Bi(PO3)4,mp-684495,LiBi(PO3)4,mp-684506,5.588859019999992,mp-684495_Li
BiP2O7,mp-26210,LiBiP2O7,mp-26209,4.8317830100000005,mp-26209_Li
BiP2O7,mp-672981,LiBiP2O7,mp-672979,4.801789322499991,mp-672979_Li
BiP2O7,mp-766118,LiBiP2O7,mp-759673,4.537005782499994,mp-759673_Li
BiP2O7,mp-26594,LiBiP2O7,mp-684489,4.553676812499992,mp-26594_Li
BiP2O7,mp-672945,LiBiP2O7,mp-26129,5.335410285,mp-26129_Li
BiP2O7,mp-25940,LiBiP2O7,mp-684109,4.530880747500012,mp-25940_Li
Bi2(PO4)3,mp-26286,LiBi2(PO4)3,mp-26285,4.669678427500008,mp-26285_Li
LiBi2(PO4)3,mp-540013,Li3Bi2(PO4)3,mp-684042,4.733820512500001,mp-540013_Li
Bi2(PO4)3,mp-26074,LiBi2(PO4)3,mp-504151,4.649910280000006,mp-25929_Li
LiBi2(PO4)3,mp-585241,Li3Bi2(PO4)3,mp-684504,4.441235861249998,mp-26301_Li
Bi3(PO5)2,mp-584116,LiBi3(PO5)2,mp-26173,4.730343640000006,mp-26173_Li
Li(BC)2,mp-1222682,LiBC,mp-9244,2.3085935099999992,mp-1222682_Li
Cu5(Si2O7)2,mp-25205,Li2Cu5(Si2O7)2,mp-554014,3.946802585000005,mp-25205_Li
Cr3Co3(SbO8)2,mp-761807,Li4Cr3Co3(SbO8)2,mp-762055,4.301086747499999,mp-761807_Li
K2VPO6,mp-565565,K2LiVPO6,mp-764301,1.8845933600000013,mp-565565_Li
LiVCo3(PO4)6,mp-770142,Li8VCo3(PO4)6,mp-765421,4.09322720857142,mp-765421_Li
VCo3(PO4)4,mp-761621,Li4VCo3(PO4)4,mp-1177182,3.6629561699999984,mp-1177182_Li
V3Co(PO4)4,mp-775494,Li4V3Co(PO4)4,mp-765840,2.5278841475000013,mp-765840_Li
Na3MnBPO7,mp-770015,Na3LiMnBPO7,mp-763842,1.7878378649999909,mp-763842_Li
NaFe2(SiO3)4,mp-771678,NaLiFe2(SiO3)4,mp-853133,4.883938239999997,mp-771678_Li
Na3Fe5(SiO3)10,mp-1176384,Na3Li2Fe5(SiO3)10,mp-775329,4.881942645000015,mp-1176384_Li
Na2Fe(Si2O5)3,mp-851041,Na2LiFe(Si2O5)3,mp-19616,5.4784632025,mp-19616_Li
Na5Fe6(SiO3)12,mp-767634,Na5LiFe6(SiO3)12,mp-767564,4.7156808299999735,mp-767564_Li
Na9Fe10(SiO3)20,mp-775293,Na9LiFe10(SiO3)20,mp-775304,4.672517920000052,mp-775293_Li
ZnFe(PO4)2,mp-1101161,Li2ZnFe(PO4)2,mp-771869,4.158621715000001,mp-1101161_Li
